Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7687;44;42.7339;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7588;50;43.4052;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7712;44;43.1855;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7785;48;43.9677;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7721;47;44.3505;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7855;48;43.3856;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.786;48;43.3925;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7872;47;43.7436;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.8336;48;43.1939;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7907;48;43.5263;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.7908;48;43.3478;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
Meta-Llama-3.1-8B-Instruct-Q4_K_M;Desplazate 3 metros a la izquierda y luego otros 3 metros hacia adelante;0.789;48;43.583;True;[{'direction':'LEFT','distance':3.00},{'direction':'FRONT','distance':3.00}]
